scheme_id,scheme_article,scheme_name,scheme_description
III.7,,"Aid in the apiculture sector Chapter II, Section 5 ",Aid granted to support this sector through apiculture programmes in order to improve the production and marketing of apiculture products.  
III.8,,Aid in the hops sector Chapter II  Section 6,Aid granted to support hops producer organisations.
III.9,,Export refunds Chapter VI  ,"Aid granted on certain products exported in exceptional circumstances and within the limits resulting from international agreements concluded in accordance with the TFEU, which covers the difference between the prices in the Union and the world market prices."
III.10,,"Exceptional measures -Measures against market disturbance Chapter I, Section 1 ","Exceptional measures granted under Articles 219(1), 220(1) and 221(1) and (2) of Regulation (EU) No 1308/2013 as measures supporting agricultural markets in accordance with Article 4(1)(a) of Regulation (EU) No 1306/2013."
IV/A.1,[RD]  Art. 14,Knowledge transfer and information actions,"This measure concerns training and other types of activities such as workshops, coaching, demonstration activities, information actions, short-term farm and forest exchange and visit schemes in order to enhance the human potential of persons engaged in the agricultural, food and forestry sectors, land managers and SMEs operating in rural areas."
IV/A.2,[RD] Art. 15,"Advisory services, farm management and farm relief services","This measure, through the use of advisory services as well as the setting up of advisory, farm management and farm relief services, aims to improve the sustainable management and the economic and environmental performance of farm and forest holdings and SMEs operating in rural areas. It also promotes the training of advisors."
IV/A.3,[RD] Art. 16,Quality schemes for agricultural products and foodstuffs,"This measure supports all new entrants to the Union, national and voluntary quality schemes. Support may also cover costs arising from information and promotion activities in order to improve consumers' awareness of the existence and specifications of products produced under these Union and national quality schemes."
IV/A.4,RD] Art. 17,Investments in physical assets,"This measure should help to improve the economic and environmental performance of agricultural holdings and rural enterprises, improve the efficiency of the agricultural products marketing and processing sector, provide infrastructure needed for the development of agriculture and forestry and support non-remunerative investments necessary to achieve environmental aims."
IV/A.5,[RD] Art. 18,Restoring agricultural production potential damage by natural disasters and introduction of appropriate prevention actions,"This measure should help farmers prevent natural disasters and catastrophic events or restore agricultural potential, which has been damaged, after its formal recognition by the competent public authorities of Member States, in order to help farm viability and competitiveness in the face of such events."
IV/A.6,[RD] Art. 19,Farm and business development,"This measure supports the creation and development of new viable economic activities such as new holdings run by young farmers, new businesses in rural areas, or the development of small farms.  Support is also given to new or existing enterprises for investments and development of non-agricultural activities which are essential for the development and competitiveness of rural areas and of all farmers diversifying their agricultural activities. The measure provides payments for farmers eligible for the small farmers scheme who permanently transfer their holding to another farmer. "
IV/A.7,[RD] Art. 20,Basic services and village renewal in rural areas,"This measure supports the interventions stimulating growth and promoting environmental and socio-economic sustainability of rural areas, in particular through the development of local infrastructure (including broadband, renewable energy and social infrastructure) and local basic services, as well as through the renewal of villages and activities aimed at the restoration and upgrading of the cultural and natural heritage. The measure also supports the relocation of activities and conversion of facilities with a view to improving the quality of life or increasing the environmental performance of the settlement."
IV/A.8,"[RD] 
Art. 21
(22-26)",Investments in forest area development and improvement of the viability of forests,"This measure aims to promote investments in development of woodlands, in forest protection, in innovation in forestry, in forestry technologies and forest products, in order to contribute to the growth potential of rural areas.
"
IV/A.9,[RD] Art. 22,Afforestation and  creation of woodland,This sub-measure provides support for operations of afforestation and creation of woodland on agricultural and non-agricultural land. 
IV/A.10,[RD] Art. 23,Establishment of  agroforestry systems,This sub-measure supports the establishment of agroforestry systems and practices where woody perennials are deliberately integrated with crops and/or animals on the same land unit. 
IV/A.11,[RD] Art. 24,"Prevention and restoration of damage to forests from forest fires, natural disasters and catastrophic events","This sub-measure aims at preventing and restoring (clearing and replanting) forestry potential after the occurrence of forest fires, other natural disasters including pest and disease outbreaks, as well as climate change related threats. "
IV/A.12,[RD] Art. 25,Investments improving the resilience and environmental value of forest ecosystems,"This sub-measure supports actions that enhance the environmental value of the forest, facilitate the adaptation and mitigation of forests to climate change, provide ecosystem services and enhance the public amenity value of forest. The increase of the environmental value of the forest should be ensured. "
IV/A.13,[RD] Art. 26,"Investments in forest technologies, processing, mobilising and  marketing of forest products","This sub-measure aims at providing support for investment in machinery and/or equipment related to harvesting, cutting, mobilising, processing the wood prior to industrial sawing of wood. The main goal of this sub-measure is to improve the economic value of forests."
IV/A.14,[RD] Art. 27,Setting up of producer groups and organisations,"This measure supports the setting up of producer groups and organisations, especially in the early years, when additional costs are incurred so as to face jointly market challenges and strengthening bargain power in relation to production and marketing, including in local markets."
IV/A.15,[RD] Art. 28,Agri-environment-climate,"This measure encourages land managers to apply farming practices contributing to the protection of the environment, landscape, natural resources and climate mitigation and adaptation. It may concern not only environmentally beneficial improvements to farming practice but also the maintenance of existing beneficial practices."
IV/A.16,[RD] Art. 29,Organic farming,"This measure is focused on supporting the conversion to and/or the maintenance of organic farming practices and methods, with a view to encourage farmers to participate in such schemes, thus answering to society's demand for the use of environmentally friendly farm practices."
IV/A.17,[RD] Art. 30,Natura 2000 and Water Framework Directive payments,This measure gives compensatory support to beneficiaries who suffer from particular disadvantages due to specific mandatory requirements in the areas concerned resulting from the implementation of Birds and Habitats Directives and Water Framework Directive (WFD) when compared to the situation of farmers and foresters in other areas not concerned by these disadvantages.
IV/A.18,[RD] Art. 31,Payments to areas facing natural or other specific constraints,This measure gives support to beneficiaries who suffer from particular constraints due to their location in mountain areas or other areas facing significant natural constraints or specific constraints.
IV/A.19,[RD] Art. 33,Animal welfare,"This measure provides payments to farmers who undertake, on a voluntary basis, to carry out operations of one or more animal welfare commitments."
IV/A.20,[RD] Art. 34,Forest-environmental and climate services and forest conservation,"This measure responds to the needs of promoting the sustainable management and improvement of forests and woodland, including the maintenance and improvement of biodiversity, water and soil resources and combating climate change and also to the need to conserve the forest genetic resources, including activities such as development of different varieties of forest species in order to adapt to specific local conditions."
IV/A.21,[RD] Art. 35,Co-operation,"This measure promotes forms of co-operation involving at least two entities and aiming to develop (inter alia): pilot projects; new products, practices, processes and technologies in the agriculture, food and forestry sectors; tourism services; short supply chains and local markets; joint projects / practices concerning the environment / climate change; projects for the sustainable provision of biomass; non-LEADER local development strategies; forest management plans; and diversification into ""social farming"" activities."
IV/A.22,[RD] Art. 36,Risk management,This measure represents a new risk management toolkit and takes forward the possibilities that currently exist to support insurances and mutual funds via Member States' national direct payment envelopes to help farmers exposed to increasing economic and environmental risks. The measure also introduces an income stabilisation tool to provide compensation to farmers suffering a severe drop in their income.
IV/A.23,[RD] Art. 40,Financing of complementary national direct payments for Croatia,This measure offers to the farmers eligible for complementary national direct payments in Croatia a top-up payment under the second pillar.
IV/A.24,"[CPR]
Art. 35 of Regulation (EU) No 1303/2013  ",Support for LEADER local development (CLLD – community-led local development),"This measure aims to maintain LEADER as an integrated territorial development tool on sub-regional (""local"") level which will directly contribute to the balanced territorial development of rural areas, which is one of the overall objectives of the rural development policy.
Support for community-led local development [LEADER under EAFRD] covers:
the costs of preparatory support consisting of capacity building, training and networking with a view to preparing and  implementing a community-led local development strategy;
implementation of operations under the CLLD strategy;
preparation and implementation of the local action group's cooperation activities;
running costs linked to the management of the implementation of the CLLD strategy;
animation of the CLLD strategy. "
IV/A.25,[RD] Art. 51 - 54 ,Technical assistance,"This measure gives to Members States the ability to provide a technical assistance to support actions that support administrative capacity linked to the management of ESI Funds. These actions may be addressed to the preparation, management, monitoring, evaluation, information and communication, networking, complaint resolution and control and audit of the Rural Development Programmes. "
V/B.1.1,Art. 21 ,(a) measures aimed at promoting knowledge and improving human potential through:,"Vocational training and information actions, including diffusion of scientific knowledge and innovative practices, for persons engaged in the agricultural, food and forestry sectors: the measure aims at fostering technical and economic training,, information and diffusion of knowledge in relation to agricultural, food and forestry matters,  including expertise in new information technologies, as well as adequate awareness in the fields of product quality, results of research and sustainable management of natural resources, including the application of production practices compatible with the maintenance and enhancement of the landscape and the protection of the environment."
V/B.1.2.,Art. 22,(a) measures aimed at promoting knowledge and improving human potential through:,"Setting up of young farmers: the measure aims at facilitating both the initial establishment of farmers who are less than 40 years of age and who are setting-up for the first time, and the structural adjustment of their holdings after their initial setting up."
V/B.1.3,Art. 23,(a) measures aimed at promoting knowledge and improving human potential through:,"Early retirement of farmers and farm workers: this measure seeks to facilitate the structural adjustment of transferred holdings through the measure for the setting-up of young farmers, or by transferring the holding with a view to increasing its size. Support is available to farmers and farm workers aged at least 55 and deciding to definitely stopping their agricultural activity or stop farm work, respectively. This measure has been discontinued in the programming period 2014 – 2020."
V/B.1.4,Art. 24,(a) measures aimed at promoting knowledge and improving human potential through:,Use of advisory services by farmers and forest holders: the support for the use by farmers and forest holders of management and advisory services aims at allowing them to improve the sustainable management of their holdings. The support available under this measure contributes to covers the costs arising from the use of advisory services.
V/B.1.5,Art. 25,(a) measures aimed at promoting knowledge and improving human potential through:,"Setting up of farm management, farm relief and farm advisory services, as well as of forestry advisory services: the support available under this measure covers costs arising from the setting-up of farm management, farm relief and farm advisory services, as well as forestry advisory services."
V/B.1.6,Art. 26,(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,"Modernisation of agricultural holdings: the purpose of  this measure is to modernize agricultural holdings to improve their economic performance through better use of the production factors he scope of the measure includes support for tangible and/or intangible investments for the introduction of new technologies and innovation, targeting quality, organic products and on/off-farm diversification, as well as improving the environmental, occupational safety, hygiene and animal welfare status of agricultural holdings."
V/B.1.7,Art. 27,(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,"Improving the economic value of forests: this measure makes available support for private forests owners (or their associations) or for  Municipalities (or their associations) to carry out investments aiming at improving and broadening the economic value of their forests, or for increasing diversification of production and enhancing market opportunities."
V/B.1.8,Art. 28,(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,Adding value to agricultural and forestry products: this measure provides support for tangible and/or intangible investments aiming at improving the processing and marketing of primary agricultural and forestry products.
V/B.1.9,Art. 29,(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,"Cooperation for development of new products, processes and technologies in the agriculture and food sector and in the forestry sector: this measure supports and promotes cooperation between farmers, the food and the raw materials processing industry and other parties to ensure that the agriculture and food sector and the forestry sector can take advantage of market opportunities through widespread innovative approaches in developing new products, processes and technologies."
V/B.1.10,Art. 30,(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,"Improving and developing infrastructure related to the development and adaptation of agriculture and forestry: the support covers operations related to access to farm and forest land, land consolidation and improvement, energy supply and water management."
V/B.1.11,Art. 20(b)(vi),(b) measures aimed at restructuring and developing physical potential and promoting innovation through:,Restoring agricultural production potential damaged by natural disasters and introducing appropriate prevention actions: the measure provides support for restorative and preventive measures against natural disasters as a means to contribute to the agricultural competitiveness axis.
V/B.1.12,Art. 31,"(c) measures aimed at improving the quality of agricultural production and products by:
","Helping farmers to adapt to demanding standards based on Community legislation: the aim of this measure is to promote a more rapid implementation by farmers of demanding standards based on Community legislation concerning the environment, public health, animal and plant health, animal welfare and occupational safety and the respect of those standards by farmers. The measure partly covers the costs incurred and income foregone caused to farmers to apply the standards. It has been discontinued in the 2014 – 2020 programming period."
V/B.1.13,Art. 32,"(c) measures aimed at improving the quality of agricultural production and products by:
","Supporting farmers who participate in food quality schemes: this measure provides support for farmers participating in Community or national food quality schemes in view of providing consumers with assurances on the quality of the product or the production process used as a result of their participation in such schemes, achieving added value for agricultural primary products and enhancing market opportunities."
V/B.1.14,Art. 33,"(c) measures aimed at improving the quality of agricultural production and products by:
",Supporting producer groups for information and promotion activities for products under food quality schemes: support is provided to producer groups to inform consumers and promote products provided under quality schemes supported by Member States within their rural development programmes in view of improving consumers’ awareness of the existence and specifications of products produced under the aforementioned quality schemes.
VB.1.15,Art. 34,"(d) transitional measures for the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia concerning:",Supporting semi-subsistence agricultural holdings undergoing restructuring: support is provided under this measure to agricultural holdings which produce primarily for their own consumption. This transitional measure has been dismissed in the 2014 – 2020 programming period.
V/B.1.16,Art .35,"(d) transitional measures for the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia concerning:",Supporting setting up of producer groups: support is provided to facilitate the setting-up and administrative operation of producer groups. This transitional measure has been dismissed in the 2014 – 2020 programming period.
V/B.1.17,Art. 25a  of  Regulation (EC) No 1974/2006,,Provision of farm advisory and extension services in Bulgaria and Romania.
V/B.1.18,Art. 35a,,Supporting holdings undergoing restructuring due to a reform of a common market organization
V/B.2.1,Art. 37,(a) measures targeting the sustainable use of agricultural land through:,"
Natural handicap payments to farmers in mountain areas: natural handicap payments in mountain areas contribute, through continued use of agricultural land, to maintaining the countryside, as well as to maintaining and promoting sustainable farming systems. 
"
V/B.2.2,Art. 37,(a) measures targeting the sustainable use of agricultural land through:,"Payments to farmers in areas with handicaps, other than mountain areas: natural handicap payments in in areas with handicaps, other than mountain areas contribute, through continued use of agricultural land, to maintaining the countryside, as well as to maintaining and promoting sustainable farming systems."
V/B.2.3,Art. 38,(a) measures targeting the sustainable use of agricultural land through:,"Natura 2000 payments and payments linked to Directive 2000/60/EC: these payments are available to farmers to help them to address specific disadvantages in the areas concerned resulting from the implementation of Council Directive 79/409/EEC on the conservation of wild birds, Council Directive 92/43/EEC on the conservation of natural habitats and of wild fauna and flora in order to contribute to the effective management of  Natura 2000 sites, as well as to help farmers to address disadvantages in river basin areas resulting from the implementation of Directive 2000/60/EC of the European Parliament and of the Council establishing a framework for the Community action in the field of the water policy."
V/B.2.4,Art. 39,(a) measures targeting the sustainable use of agricultural land through:,"Agri-environment payments: these payments cover costs incurred and income foregone incurred by farmers and other land managers for their voluntary commitments to  apply agricultural production methods compatible with the protection and improvement of the environment, the landscape and its features, natural resources, the soil and genetic diversity."
V/B.2.5,Art. 40,(a) measures targeting the sustainable use of agricultural land through:,Animal welfare payments: these payments cover costs incurred and income foregone incurred by farmers for their voluntary commitments to adopt standards of animal husbandry which go beyond the relevant mandatory standards.
V/B.2.6,Art. 41 ,(a) measures targeting the sustainable use of agricultural land through:,"Support for non-productive investments: Support is available for non-remunerative investments where they are necessary to achieve the commitments undertaken under agri-environmental schemes or other agri-environmental objectives, or where they enhance on-farm the public amenity value of Natura 2000 areas and other areas of high natural value."
V/B.2.7,Art. 43,(b) measures targeting the sustainable use of forestry land through:,"First afforestation of agricultural land: the support is provided to farmers for first afforestation of agricultural land, i.e. where agricultural practices were undertaken. The payments cover establishment and maintenance costs as well as income foregone resulting from afforestation."
V/B.2.8,Art. 44,(b) measures targeting the sustainable use of forestry land through:,First establishment of agroforestry systems on agricultural land: the support is granted to farmers to create agroforestry systems combining extensive agriculture and forestry systems. The support covers establishment costs.
V/B.2.9,Art. 45,(b) measures targeting the sustainable use of forestry land through:,"First afforestation of non-agricultural land:  the support is provided for afforestation of land that was not under agricultural cultivation. The payments include the establishment costs and in the case of abandoned farmland, also an annual premium."
V/B.2.10,Art. 46,(b) measures targeting the sustainable use of forestry land through:,Natura 2000 payments: aims at providing support to private forest owners or associations in order to compensate for costs incurred and income foregone resulting from the restrictions on the use of forests and other wooded land related to the correct implementation of Directives 79/409/EEC and 92/43/EEC.
V/B.2.11,Art. 47,(b) measures targeting the sustainable use of forestry land through:,Forest-environment payments: this support is for beneficiaries who make voluntary forest-environmental commitments for a period between five and seven years.
V/B.2.12,Art. 48,(b) measures targeting the sustainable use of forestry land through:,Restoring forestry potential and introducing prevention actions:  this support is for restoring forestry potential in forests damaged by natural disasters and fire and for introducing appropriate prevention actions. 
V/B.2.13,Art. 49,(b) measures targeting the sustainable use of forestry land through:,Support for non-productive investments: this support is available for investments carried out in forests linked to the achievement of commitments undertaken pursuant to the forest-environment measure or other environmental objectives and which enhance the public amenity value of forest and wooded land of the area concerned.
V/B.3.1,Art. 53,"(a) measures to diversify the rural economy, comprising:",Diversification into non-agricultural activities: this measure aims at providing support for rural people to diversify farming activities towards non-agricultural activities and develop non-agricultural sectors and promote employment.
V/B.3.2,Art. 54,"(a) measures to diversify the rural economy, comprising:",Support for the creation and development of micro-enterprises with a view to promoting entrepreneurship and developing the economic fabric: this measure aims at diversifying farming activities towards non-agricultural activities with the help of supporting the set-up of micro-enterprises that facilitate entrepreneurship in rural areas.
V/B.3.3,Art. 55,"(a) measures to diversify the rural economy, comprising:","Encouragement of tourism activities: the support covers small-scale infrastructure such as information centres and the signposting of tourist sites, recreational infrastructure such as that offering access to natural areas and small-capacity accommodation and the development and/or marketing of tourism services relating to rural tourism."
V/B.3.4,Art. 56,"(b) measures to improve the quality of life in the rural areas, comprising:","Basic services for the economy and rural population: this measure supports the improvement of basic services, including local access to Information and Communication Technologies (ICTs) and carry out investments. The measure includes support for setting up of basic services, including cultural and leisure activities, concerning a village or group of villages, and related small-scale infrastructure."
V/B.3.5,Art. 52(b)(ii),"(b) measures to improve the quality of life in the rural areas, comprising:",Village renewal and development: this measure aims at supporting village development.
V/B.3.6,Art. 57,"(b) measures to improve the quality of life in the rural areas, comprising:","Conservation and upgrading of the rural heritage: this measure support for the drawing-up of protection and management plans relating to Natura 2000 sites and other places of high natural value, environmental awareness actions and investments associated with maintenance, restoration and upgrading of the natural heritage and with the development of high natural value sites. The measure also supports studies and investments associated with maintenance, restoration and upgrading of the cultural heritage."
V/B.3.7,Art. 58,(c),"A training and information measure for economic actors operating in the fields covered by axis 3: this measure aims to enhance the human potential in rural areas to achieve the objectives of diversifying farming activities towards non-agricultural activities and develop non-agricultural sectors, promote employment, improve basic services and carry out investments."
V/B.3.8,Art. 59,(d),"A skills acquisition and animation measure with a view to preparing and implementing a local development strategy. Under this measure, support is provided for studies about the area and the local development strategy, for example the training of staff involved in the preparation and implementation of a local development strategy; promotional events and the training of leaders; implementation by public-private partnerships."
V/B.4.1,Art. 63 ,(a) Local development strategies:,Competitiveness (Measure 411)
V/B.4.2,,(a) Local development strategies:,Environment/land management  (Measure 412)
V/B.4.3,,(a) Local development strategies:,Quality of life/diversification (Measure 413)
V/B.4.4,Art. 68(2)(b),,Transnational and inter-regional cooperation 
V/B.4.5,Art. 63(c),,"Running the local action group, skills acquisition, animation"
V/B.4.6,Art. 66 ,,Technical assistance
V/B.4.7,Art. 39a  of Regulation  (EC) No 1974/2006,,Complementary direct payments in Bulgaria and Romania (Measure 611)
VI/A.1,,Information and promotion measures ,"Information provision and promotion measures concerning agricultural products and certain food products based on agricultural products implemented in the internal market or in third countries as listed in Regulation (EU) No 1144/2014 may be fully or partly financed by the Union budget, subject to the conditions laid down in this Regulation. These measures shall take the form of information and promotion programmes."
VI/B.1,,Information and promotion measures,"Information and promotion measures for agricultural products and their method of production as well as for food products based on agricultural products carried out on the internal market or in third countries as listed in Article 2 of Regulation (EC) No 3/2008 may be financed, fully or in part, by the Community budget subject to the conditions laid down in this Regulation. These measures shall be implemented as part of an information and promotion programme."
VI/C.1,,POSEI ,"Aid granted for the following measure:
POSEI is a specific agricultural scheme aiming at taking into account the constraints of the Outermost Regions as required by Article 349 TFEU. It consists of two main elements: the specific supply arrangements and the measures to support local production. The former aims at mitigating additional costs for supplying essential products resulting from the remoteness of these regions (through aid for products from the EU and exemption from import duties for products from third countries) and the latter at assisting the development of the local agriculture sector (direct payments and market measures). POSEI also allows the financing of plant-health programmes."
